GeoName,New_MEFI_Score,MEFI_Score,Govt_Consumption,Govt_Xfers_Subsidies,Govt_Retirement, Income_Payroll_Tax,Sales_Tax,Property_Tax,Minimum_Wage_Over_Income,Percent_Govt_Employment,Percent_Private_Union_Density,Minimum_Wage_Over_10%_Income
"Duluth, MN-WI MSA",5.765295849,5.555191177,5.700645681,8.354178191,4.248433924,1.229707584,4.984521244,7.605714254,6.552192023,7.401743426,3.919584265,5.81053
"Durham-Chapel Hill, NC MSA",7.356156595,7.734209195,8.720975045,8.717574125,6.030654983,3.555677145,5.866606907,8.623707918,9.091775122,9.219490744,9.781420765,6.37895
"East Stroudsburg, PA MSA",6.53285281,6.189913495,6.543521722,8.636296104,3.821311207,4.083450581,6.292834186,4.984997276,7.774601933,8.490241229,5.081967213,8.16842
"Eau Claire, WI MSA",6.950145106,6.909049654,7.493823785,9.314906814,3.989566757,3.005356753,6.183751866,7.990386255,8.305523663,8.794305853,7.103825137,7.47368
"El Centro, CA MSA",4.000967136,3.819789236,0,5.563991847,0.778022742,0.752799123,6.252739387,8.810014272,4.183872291,4.86726456,3.169398907,4.8
"Elizabethtown-Fort Knox, KY MSA",6.180997105,6.00577581,5.131289653,8.008178088,1.90678842,3.070673583,5.350381223,9.524864226,7.729298308,6.991710971,6.338797814,7.91579
"Elkhart-Goshen, IN MSA",7.384213828,7.489144644,7.843258385,8.557002145,7.467920438,4.828853765,5.122805708,9.120941899,8.359630935,9.325932233,6.775956284,5.83158
"Elmira, NY MSA",5.862052794,5.209421215,6.282705273,9.122153127,4.533779086,1.309393521,4.749743556,7.658303416,5.941105375,7.287607583,0,5.87368
"El Paso, TX MSA",7.23966472,7.244049087,6.341646878,9.346550353,4.526795974,10,4.069112026,7.732808194,6.658389211,7.450100899,9.071038251,9.03158
"Enid, OK MSA",7.506764209,7.546785939,8.512393038,8.97726545,5.159499006,5.719633519,4.917071082,9.561229487,8.077435052,8.362667033,8.633879781,8.27368
"Erie, PA MSA",6.855553518,6.493900752,6.364737533,8.636296104,2.854952561,4.002446452,6.227531814,8.050951631,7.92938687,9.296836592,5.081967213,8.33684
"Eugene, OR MSA",5.713365594,5.624757918,5.076276499,9.353172995,0.788334712,0,9.695433143,7.852669202,6.077865371,8.281801585,3.49726776,4.29474
"Evansville, IN-KY MSA",7.355961235,7.269004301,7.721638312,8.451177517,6.21970012,4.819420957,5.01048507,9.157273842,8.36414368,8.965074777,6.71212443,7.49474
"Fairbanks, AK MSA",6.675871684,6.633907028,5.473596728,8.877861207,0,9.530428646,9.807095512,8.437602797,7.58191786,8.24802662,1.74863388,2.12632
"Fargo, ND-MN MSA",6.901942456,7.150822793,6.975698181,9.079989491,4.555016442,6.01871204,4.359977915,8.616234126,8.553108785,8.800850383,7.397817776,5.15789
"Farmington, NM MSA",5.45003868,5.433574934,0,9.023332032,0.435480961,6.074660495,3.700318204,9.163478232,6.247026283,6.279736119,7.978142077,8.12632
"Fayetteville, NC MSA",7.045844006,7.187639296,7.779954962,9.173223752,6.010419473,3.555677145,5.725318999,8.957250257,6.846938171,6.858550137,9.781420765,8.50526
"Fayetteville-Springdale-Rogers, AR-MO MSA",7.135467965,7.321779711,7.850145515,8.928998329,5.125554579,4.297779692,3.672669777,9.674119454,9.120099698,8.455107799,8.771542556,7.09474
"Flagstaff, AZ MSA",6.905044061,7.365965033,7.980432515,9.008138735,5.690658471,6.565990702,3.195888365,8.891314897,6.286240563,9.221469139,9.453551913,5.30526
"Flint, MI MSA",6.397690696,5.981201385,5.170855814,9.095481873,3.535316359,4.484034878,6.247808706,8.478742667,5.998006943,7.705811129,3.114754098,6.86316
"Florence, SC MSA",7.276355798,7.405010769,7.651013675,8.042998774,4.670980764,5.169271117,6.595216799,8.716171074,7.369223926,8.430220793,10,8.84211
"Florence-Muscle Shoals, AL MSA",6.549117111,6.422315589,5.25888005,6.452286842,4.141858387,5.272931105,4.666406531,9.669268505,6.91005077,7.8335297,7.595628415,8.73684
"Fond du Lac, WI MSA",6.770429587,6.790152848,7.178523579,9.323579167,3.989566757,3.005356753,6.255485642,7.830206661,8.436872956,7.987958976,7.103825137,6.92632
"Fort Collins-Loveland, CO MSA",7.674441365,7.740603126,10,9.291771386,4.38990081,4.625387801,8.390232041,10,7.6161501,8.903898569,6.448087432,5.85263
"Fort Smith, AR-OK MSA",6.653091493,6.782059074,6.598489802,8.929919826,5.198047707,4.745435916,3.341281103,9.505588665,6.065856683,7.872151106,8.781760854,7.62105
"Fort Wayne, IN MSA",7.501250345,7.402672388,8.129945746,8.556982364,7.438734728,4.078290657,5.071344038,9.101658685,8.18492229,9.286216696,6.775956284,7.66316
"Fresno, CA MSA",5.202385496,5.060973679,3.94227742,9.422573578,0,0.752799123,6.12722365,8.780754499,5.255452095,8.098283839,3.169398907,4.44211
"Gadsden, AL MSA",6.730604385,6.568715144,7.030842773,6.452286842,4.615702197,4.315262902,4.973728303,9.757206465,6.821153102,7.556625301,7.595628415,9.05263
"Gainesville, FL MSA",7.754130196,7.867612444,7.142073822,9.608384615,6.075017409,9.470305475,4.839172971,8.514621978,7.197898087,9.381802668,8.579234973,7.55789
"Gainesville, GA MSA",7.516284489,7.680129438,8.776480207,9.277564522,5.5493224,4.210385594,6.015163171,8.942260542,8.008841673,8.887594921,9.453551913,7.97895
"Gettysburg, PA MSA",6.817563388,6.521407698,6.962028894,8.636296104,4.022419016,3.444962535,6.174068781,7.873330792,8.528308032,7.969287918,5.081967213,7.74737
